Nama Provinsi,Tahun,Rencana Jumlah Keluarga Penerima BANSOS,Realisasi Jumlah Keluarga Penerima BANSOS,Rencana Anggaran BANSOS,Realisasi Anggaran BANSOS
ACEH,2018,381450,2725670,41959500000,299824000000
SUMATERA UTARA,2018,713176,5913882,78449360000,650527000000
SUMATERA BARAT,2018,248418,2001831,27325980000,220201000000
RIAU,2018,230318,757615,25334980000,83337650000
JAMBI,2018,478586,1231614,52644460000,135478000000
SUMATERA SELATAN,2018,461538,1583167,50769180000,174148000000
BENGKULU,2018,132645,921164,14590950000,101328000000
LAMPUNG,2018,603223,5253609,66354530000,577897000000
KEPULAUAN BANGKA BELITUNG,2018,43019,202322,4732090000,22255420000
KEPULAUAN RIAU,2018,61272,235051,6739920000,25855610000
DKI JAKARTA,2018,214249,188101,23567390000,20691110000
JAWA BARAT,2018,2517699,9710183,276947000000,1068120000000
JAWA TENGAH,2018,2550603,14391204,280566000000,1583030000000
DI YOGYAKARTA,2018,,703371,,77370810000
JAWA TIMUR,2018,2889929,11880568,317892000000,1306860000000
BANTEN,2018,484019,1841399,53242090000,202554000000
BALI,2018,137433,159149,15117630000,17506390000
NUSA TENGGARA BARAT,2018,473049,4490940,52035390000,494003000000
NUSA TENGGARA TIMUR,2018,452557,3051720,49781270000,335689000000
KALIMANTAN BARAT,2018,221074,2210650,24318140000,243172000000
KALIMANTAN TENGAH,2018,81384,726642,8952240000,79930620000
KALIMANTAN SELATAN,2018,149293,1383811,16422230000,152219000000
KALIMANTAN TIMUR,2018,120523,1154880,13257530000,127037000000
KALIMANTAN UTARA,2018,23086,142233,2539460000,15645630000
SULAWESI UTARA,2018,146428,829909,16107080000,91289990000
SULAWESI TENGAH,2018,201887,1910400,22207570000,210144000000
SULAWESI SELATAN,2018,445654,3103836,49021940000,341422000000
SULAWESI TENGGARA,2018,154675,1366420,17014250000,150306000000
GORONTALO,2018,89673,394120,9864030000,43353200000
SULAWESI BARAT,2018,73984,739000,8138240000,81290000000
MALUKU,2018,124448,954160,13689280000,104958000000
MALUKU UTARA,2018,51463,514050,5660930000,56545500000
PAPUA BARAT,2018,95488,659620,10503680000,72558200000
PAPUA,2018,448931,2825260,49382410000,310779000000
ACEH,2019,390839,370269,515907000000,488755000000
SUMATERA UTARA,2019,683615,670670,902372000000,885284000000
SUMATERA BARAT,2019,245798,242513,324453000000,320117000000
RIAU,2019,215883,209065,284966000000,275966000000
JAMBI,2019,165147,155559,217994000000,205338000000
SUMATERA SELATAN,2019,469520,461273,619766000000,608880000000
BENGKULU,2019,127033,124588,167684000000,164456000000
LAMPUNG,2019,638411,638414,842703000000,842706000000
KEPULAUAN BANGKA BELITUNG,2019,43750,43750,57750000000,57750000000
KEPULAUAN RIAU,2019,52164,51566,68856480000,68067120000
DKI JAKARTA,2019,183670,183261,242444000000,241905000000
JAWA BARAT,2019,2637975,2636995,3482130000000,3480830000000
JAWA TENGAH,2019,2659492,2620831,3510530000000,3459500000000
DI YOGYAKARTA,2019,324998,302591,428997000000,399420000000
JAWA TIMUR,2019,2848177,2846829,3759590000000,3757810000000
BANTEN,2019,499981,492279,659975000000,649808000000
BALI,2019,141751,141249,187111000000,186449000000
NUSA TENGGARA BARAT,2019,490814,490457,647874000000,647403000000
NUSA TENGGARA TIMUR,2019,434921,434353,574096000000,573346000000
KALIMANTAN BARAT,2019,213154,210736,281363000000,278172000000
KALIMANTAN TENGAH,2019,75742,72917,99979440000,96250440000
KALIMANTAN SELATAN,2019,154055,151413,203353000000,199865000000
KALIMANTAN TIMUR,2019,111197,110393,146780000000,145719000000
KALIMANTAN UTARA,2019,20769,21013,27415080000,27737160000
SULAWESI UTARA,2019,141020,140939,186146000000,186039000000
SULAWESI TENGAH,2019,180966,180190,238875000000,237851000000
SULAWESI SELATAN,2019,425148,425099,561195000000,561131000000
SULAWESI TENGGARA,2019,145309,144976,191808000000,191368000000
GORONTALO,2019,86982,86982,114816000000,114816000000
SULAWESI BARAT,2019,78767,78690,103972000000,103871000000
MALUKU,2019,118775,101921,156783000000,134536000000
MALUKU UTARA,2019,50264,41475,66348480000,54747000000
PAPUA BARAT,2019,90605,56042,119599000000,73975440000
PAPUA,2019,453308,81025,598367000000,106953000000
ACEH,2020,422874,451940,84574800000,90388000000
SUMATERA UTARA,2020,762002,769342,152400000000,153868000000
SUMATERA BARAT,2020,270214,295752,54042800000,59150400000
RIAU,2020,259750,290601,51950000000,58120200000
JAMBI,2020,188544,189741,37708800000,37948200000
SUMATERA SELATAN,2020,599194,569116,119839000000,113823000000
BENGKULU,2020,143546,143305,28709200000,28661000000
LAMPUNG,2020,765421,777161,153084000000,155432000000
KEPULAUAN BANGKA BELITUNG,2020,51468,56937,10293600000,11387400000
KEPULAUAN RIAU,2020,61967,63483,12393400000,12696600000
DKI JAKARTA,2020,250175,198393,50035000000,39678600000
JAWA BARAT,2020,3708411,3311983,741682000000,662397000000
JAWA TENGAH,2020,3881893,3423462,776379000000,684692000000
DI YOGYAKARTA,2020,394803,355098,78960600000,71019600000
JAWA TIMUR,2020,3884176,3515152,776835000000,703030000000
BANTEN,2020,586700,563134,117340000000,112627000000
BALI,2020,206749,169490,41349800000,33898000000
NUSA TENGGARA BARAT,2020,574689,577559,114938000000,115512000000
NUSA TENGGARA TIMUR,2020,499166,504194,99833200000,100839000000
KALIMANTAN BARAT,2020,282053,303557,56410600000,60711400000
KALIMANTAN TENGAH,2020,90166,100264,18033200000,20052800000
KALIMANTAN SELATAN,2020,175482,188370,35096400000,37674000000
KALIMANTAN TIMUR,2020,128355,125079,25671000000,25015800000
KALIMANTAN UTARA,2020,26106,28641,5221200000,5728200000
SULAWESI UTARA,2020,156915,164371,31383000000,32874200000
SULAWESI TENGAH,2020,210400,221982,42080000000,44396400000
SULAWESI SELATAN,2020,597844,647922,119569000000,129584000000
SULAWESI TENGGARA,2020,181271,199591,36254200000,39918200000
GORONTALO,2020,117664,113750,23532800000,22750000000
SULAWESI BARAT,2020,94570,101617,18914000000,20323400000
MALUKU,2020,114961,122879,22992200000,24575800000
MALUKU UTARA,2020,50522,51252,10104400000,10250400000
PAPUA BARAT,2020,76343,75822,15268600000,15164400000
PAPUA,2020,185606,326408,37121200000,65281600000
ACEH,2021,428504,388854,1239760000000,1062150000000
SUMATERA UTARA,2021,728629,789834,2102280000000,1934370000000
SUMATERA BARAT,2021,276782,298621,807517000000,739701000000
RIAU,2021,265006,259290,779850000000,682679000000
JAMBI,2021,176026,171970,519521000000,448409000000
SUMATERA SELATAN,2021,489532,489642,1434910000000,1279590000000
BENGKULU,2021,141533,138977,406209000000,353292000000
LAMPUNG,2021,718887,715565,2100830000000,1861760000000
KEPULAUAN BANGKA BELITUNG,2021,51644,53248,152302000000,135539000000
KEPULAUAN RIAU,2021,64390,59911,180572000000,156540000000
DKI JAKARTA,2021,187962,224107,541384000000,531316000000
JAWA BARAT,2021,4389031,4220864,11043500000000,10300200000000
JAWA TENGAH,2021,3438486,3282992,9587730000000,8822860000000
DI YOGYAKARTA,2021,354996,336898,1027860000000,907719000000
JAWA TIMUR,2021,3113547,3068572,8902550000000,8281080000000
BANTEN,2021,487056,537221,1459930000000,1348940000000
BALI,2021,167283,154970,476111000000,429749000000
NUSA TENGGARA BARAT,2021,469099,473816,1464640000000,1289220000000
NUSA TENGGARA TIMUR,2021,411815,424085,1274180000000,1142990000000
KALIMANTAN BARAT,2021,280641,290042,836756000000,753734000000
KALIMANTAN TENGAH,2021,86948,86319,280740000000,229386000000
KALIMANTAN SELATAN,2021,168415,165801,505132000000,450132000000
KALIMANTAN TIMUR,2021,111646,110490,332368000000,299270000000
KALIMANTAN UTARA,2021,25896,25907,81460800000,68671600000
SULAWESI UTARA,2021,131668,132042,396790000000,353144000000
SULAWESI TENGAH,2021,184985,187427,539966000000,495119000000
SULAWESI SELATAN,2021,559094,569335,1612080000000,1507680000000
SULAWESI TENGGARA,2021,173097,169843,503333000000,461953000000
GORONTALO,2021,103016,99289,292845000000,271835000000
SULAWESI BARAT,2021,97551,94456,272874000000,254504000000
MALUKU,2021,102061,97879,301604000000,262072000000
MALUKU UTARA,2021,48810,45980,136085000000,121793000000
PAPUA BARAT,2021,69596,62756,199741000000,169728000000
PAPUA,2021,296368,330603,846622000000,829188000000
