Nama Provinsi,Tahun,Tingkat Pengangguran
ACEH,1986,2.4
ACEH,1987,1.67
ACEH,1988,2.09
ACEH,1989,3.21
ACEH,1990,2.28
ACEH,1991,2.44
ACEH,1992,1.96
ACEH,1993,4.01
ACEH,1994,5.51
ACEH,1996,6.47
ACEH,1997,5.24
ACEH,1998,6.21
ACEH,1999,7.56
ACEH,2000,4.8
ACEH,2001,7.71
ACEH,2002,9.34
ACEH,2003,8.97
ACEH,2004,9.35
ACEH,2005,14.0
ACEH,2006,10.43
ACEH,2007,9.84
ACEH,2008,9.56
ACEH,2009,8.71
ACEH,2010,8.37
ACEH,2011,9.0
ACEH,2012,9.06
ACEH,2013,10.12
ACEH,2014,9.02
ACEH,2015,9.93
ACEH,2016,7.57
ACEH,2017,6.57
ACEH,2018,6.34
ACEH,2019,6.17
ACEH,2020,6.59
ACEH,2021,6.3
ACEH,2022,6.17
ACEH,2023,6.03
ACEH,2024,5.75
BALI,1986,1.2
BALI,1987,1.07
BALI,1988,1.29
BALI,1989,1.42
BALI,1990,1.7
BALI,1991,1.56
BALI,1992,1.4
BALI,1993,1.37
BALI,1994,2.46
BALI,1996,2.66
BALI,1997,2.59
BALI,1998,3.09
BALI,1999,2.49
BALI,2000,2.96
BALI,2001,2.89
BALI,2002,4.52
BALI,2003,5.36
BALI,2004,4.66
BALI,2005,5.32
BALI,2006,6.04
BALI,2007,3.77
BALI,2008,3.31
BALI,2009,3.13
BALI,2010,3.06
BALI,2011,2.95
BALI,2012,2.1
BALI,2013,1.83
BALI,2014,1.9
BALI,2015,1.99
BALI,2016,1.89
BALI,2017,1.48
BALI,2018,1.4
BALI,2019,1.57
BALI,2020,5.63
BALI,2021,5.37
BALI,2022,4.8
BALI,2023,2.69
BALI,2024,1.79
BANTEN,1986,
BANTEN,1987,
BANTEN,1988,
BANTEN,1989,
BANTEN,1990,
BANTEN,1991,
BANTEN,1992,
BANTEN,1993,
BANTEN,1994,
BANTEN,1996,
BANTEN,1997,
BANTEN,1998,
BANTEN,1999,
BANTEN,2000,
BANTEN,2001,12.32
BANTEN,2002,14.15
BANTEN,2003,14.18
BANTEN,2004,14.31
BANTEN,2005,16.59
BANTEN,2006,18.91
BANTEN,2007,15.75
BANTEN,2008,15.18
BANTEN,2009,14.97
BANTEN,2010,13.68
BANTEN,2011,13.74
BANTEN,2012,9.94
BANTEN,2013,9.54
BANTEN,2014,9.07
BANTEN,2015,9.55
BANTEN,2016,8.92
BANTEN,2017,9.28
BANTEN,2018,8.47
BANTEN,2019,8.11
BANTEN,2020,10.64
BANTEN,2021,8.98
BANTEN,2022,8.09
BANTEN,2023,7.52
BANTEN,2024,6.68
BENGKULU,1986,1.12
BENGKULU,1987,1.2
BENGKULU,1988,1.38
BENGKULU,1989,2.44
BENGKULU,1990,1.43
BENGKULU,1991,2.22
BENGKULU,1992,1.87
BENGKULU,1993,2.24
BENGKULU,1994,2.89
BENGKULU,1996,3.38
BENGKULU,1997,3.42
BENGKULU,1998,1.97
BENGKULU,1999,3.39
BENGKULU,2000,3.25
BENGKULU,2001,6.01
BENGKULU,2002,6.45
BENGKULU,2003,7.48
BENGKULU,2004,6.29
BENGKULU,2005,8.91
BENGKULU,2006,6.04
BENGKULU,2007,4.68
BENGKULU,2008,4.9
BENGKULU,2009,5.08
BENGKULU,2010,4.59
BENGKULU,2011,3.46
BENGKULU,2012,3.62
BENGKULU,2013,4.61
BENGKULU,2014,3.47
BENGKULU,2015,4.91
BENGKULU,2016,3.3
BENGKULU,2017,3.74
BENGKULU,2018,3.35
BENGKULU,2019,3.26
BENGKULU,2020,4.07
BENGKULU,2021,3.65
BENGKULU,2022,3.59
BENGKULU,2023,3.42
BENGKULU,2024,3.11
DI YOGYAKARTA,1986,2.11
DI YOGYAKARTA,1987,1.95
DI YOGYAKARTA,1988,2.48
DI YOGYAKARTA,1989,2.24
DI YOGYAKARTA,1990,2.23
DI YOGYAKARTA,1991,2.05
DI YOGYAKARTA,1992,2.41
DI YOGYAKARTA,1993,2.25
DI YOGYAKARTA,1994,3.95
DI YOGYAKARTA,1996,4.07
DI YOGYAKARTA,1997,4.04
DI YOGYAKARTA,1998,3.72
DI YOGYAKARTA,1999,3.74
DI YOGYAKARTA,2000,3.45
DI YOGYAKARTA,2001,5.18
DI YOGYAKARTA,2002,5.21
DI YOGYAKARTA,2003,5.62
DI YOGYAKARTA,2004,6.26
DI YOGYAKARTA,2005,7.59
DI YOGYAKARTA,2006,6.31
DI YOGYAKARTA,2007,6.1
DI YOGYAKARTA,2008,5.38
DI YOGYAKARTA,2009,6.0
DI YOGYAKARTA,2010,5.69
DI YOGYAKARTA,2011,4.39
DI YOGYAKARTA,2012,3.9
DI YOGYAKARTA,2013,3.24
DI YOGYAKARTA,2014,3.33
DI YOGYAKARTA,2015,4.07
DI YOGYAKARTA,2016,2.72
DI YOGYAKARTA,2017,3.02
DI YOGYAKARTA,2018,3.37
DI YOGYAKARTA,2019,3.18
DI YOGYAKARTA,2020,4.57
DI YOGYAKARTA,2021,4.56
DI YOGYAKARTA,2022,4.06
DI YOGYAKARTA,2023,3.69
DI YOGYAKARTA,2024,3.48
DKI JAKARTA,1986,10.35
DKI JAKARTA,1987,9.66
DKI JAKARTA,1988,10.01
DKI JAKARTA,1989,8.47
DKI JAKARTA,1990,7.3
DKI JAKARTA,1991,6.35
DKI JAKARTA,1992,6.35
DKI JAKARTA,1993,5.6
DKI JAKARTA,1994,9.1
DKI JAKARTA,1996,9.41
DKI JAKARTA,1997,10.94
DKI JAKARTA,1998,12.32
DKI JAKARTA,1999,15.01
DKI JAKARTA,2000,12.08
DKI JAKARTA,2001,15.07
DKI JAKARTA,2002,14.39
DKI JAKARTA,2003,14.86
DKI JAKARTA,2004,14.7
DKI JAKARTA,2005,15.77
DKI JAKARTA,2006,11.4
DKI JAKARTA,2007,12.57
DKI JAKARTA,2008,12.16
DKI JAKARTA,2009,12.15
DKI JAKARTA,2010,11.05
DKI JAKARTA,2011,11.69
DKI JAKARTA,2012,9.67
DKI JAKARTA,2013,8.63
DKI JAKARTA,2014,8.47
DKI JAKARTA,2015,7.23
DKI JAKARTA,2016,6.12
DKI JAKARTA,2017,7.14
DKI JAKARTA,2018,6.65
DKI JAKARTA,2019,6.54
DKI JAKARTA,2020,10.95
DKI JAKARTA,2021,8.5
DKI JAKARTA,2022,7.18
DKI JAKARTA,2023,6.53
DKI JAKARTA,2024,6.21
GORONTALO,1986,
GORONTALO,1987,
GORONTALO,1988,
GORONTALO,1989,
GORONTALO,1990,
GORONTALO,1991,
GORONTALO,1992,
GORONTALO,1993,
GORONTALO,1994,
GORONTALO,1996,
GORONTALO,1997,
GORONTALO,1998,
GORONTALO,1999,
GORONTALO,2000,
GORONTALO,2001,7.78
GORONTALO,2002,13.17
GORONTALO,2003,10.17
GORONTALO,2004,12.29
GORONTALO,2005,14.04
GORONTALO,2006,7.62
GORONTALO,2007,7.16
GORONTALO,2008,5.65
GORONTALO,2009,5.89
GORONTALO,2010,5.16
GORONTALO,2011,6.74
GORONTALO,2012,4.47
GORONTALO,2013,4.15
GORONTALO,2014,4.18
GORONTALO,2015,4.65
GORONTALO,2016,2.76
GORONTALO,2017,4.28
GORONTALO,2018,3.7
GORONTALO,2019,3.76
GORONTALO,2020,4.28
GORONTALO,2021,3.01
GORONTALO,2022,2.58
GORONTALO,2023,3.06
GORONTALO,2024,3.13
JAMBI,1986,2.38
JAMBI,1987,1.37
JAMBI,1988,2.57
JAMBI,1989,2.26
JAMBI,1990,1.92
JAMBI,1991,2.39
JAMBI,1992,1.96
JAMBI,1993,1.8
